TPL_names,invasion.status.2022,bg_num,chklst_prov_num,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,hab_suit_mean,X1,X2,X3,X4,X5,X6,X7,X8,X9,no.NativeRange.level03,lf_short.herb,lf_long.herb,lf_woody,prop_type.seed.v2,prop_type.veg.v2,prop_type.both.v2,max.height.new2023,pd.mean.to_native,pd.min.to_native,pd.wmean.to_native
Coreopsis basalis,0,11,10,0,1,0,0,0,0,0,0,0,0,1,0.164,0,0,0,0,0,0,1,0,0,10,1,0,0,1,0,0,0.9,229.5158211,10.052647,42.828
Oenothera oakesiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,1,0,0,14,1,0,0,1,1,1,0.9,253.7687882,36.167,47.261
Mimosa diplotricha var. inermis,1,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,27,0,1,0,1,0,0,0.3,249.0431547,48.335186,46.36
Nothoscordum gracile,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0.246,0,0,0,0,0,0,1,1,0,16,0,1,0,1,1,1,0.9,264.1378483,64.015641,49.107
Acacia longifolia,0,3,2,0,1,0,1,1,0,1,1,0,0,5,0.119,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,10,249.0352254,19.343535,46.358
Stylosanthes guianensis,1,5,6,1,1,0,0,0,0,0,0,1,0,3,0.121,0,0,0,0,0,0,1,1,0,28,0,0,1,1,0,0,1.8,249.9069188,169.526674,46.535
Hygrophila corymbosa,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0.3,231.6156873,7.532871,43.553
Delonix regia,0,16,12,1,1,1,0,1,1,1,1,1,0,8,0.127,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,25,249.0921568,57.680106,46.371
Cestrum elegans,0,10,9,0,1,0,0,0,0,0,0,0,0,1,0.201,0,0,0,0,0,0,1,0,0,4,0,0,1,1,1,1,4,238.7437387,75.163091,44.679
Senna surattensis,0,10,7,0,1,0,0,1,0,1,1,0,0,4,0.26,0,0,0,1,1,0,0,0,0,19,0,0,1,1,0,0,11,249.1043802,52.044744,46.373
